date,investor_type,value
Dec 1997,pension_funds,0.40434
Dec 1997,banks,32.88632
Dec 1997,insurance_companies,5.79554
Dec 1997,foreign_investors,0.74129
Dec 1997,bank_of_israel,5.135118
Jan 1998,public,26.071744
Jan 1998,mutual_funds,7.924023
Jan 1998,providence_funds,52.655987
Jan 1998,pension_funds,0.407371
Jan 1998,banks,31.827502
Jan 1998,insurance_companies,6.83332
Jan 1998,foreign_investors,0.775319
Jan 1998,bank_of_israel,4.914734
Feb 1998,public,26.994275
Feb 1998,mutual_funds,8.237565
Feb 1998,providence_funds,52.542665
Feb 1998,pension_funds,0.4377450000000001
Feb 1998,banks,31.769675000000003
Feb 1998,insurance_companies,7.030449999999999
Feb 1998,foreign_investors,0.623455
Feb 1998,bank_of_israel,5.01417
Mar 1998,public,26.384085
Mar 1998,mutual_funds,8.675310000000001
Mar 1998,providence_funds,52.68858
Mar 1998,pension_funds,0.4510100000000001
Mar 1998,banks,31.544170000000005
Mar 1998,insurance_companies,7.269220000000002
Mar 1998,foreign_investors,0.66325
Mar 1998,bank_of_israel,4.974375
Apr 1998,public,25.57278
Apr 1998,mutual_funds,9.4047
Apr 1998,providence_funds,52.77304
Apr 1998,pension_funds,0.4669
Apr 1998,banks,31.7492
Apr 1998,insurance_companies,7.51042
Apr 1998,foreign_investors,1.0005000000000002
Apr 1998,bank_of_israel,4.92246
May 1998,public,25.72614
May 1998,mutual_funds,9.917379999999998
May 1998,providence_funds,53.22371999999999
May 1998,pension_funds,0.49654
May 1998,banks,31.22834
May 1998,insurance_companies,7.756759999999999
May 1998,foreign_investors,0.8722999999999999
May 1998,bank_of_israel,4.97882
Jun 1998,public,25.061704
Jun 1998,mutual_funds,10.654896
Jun 1998,providence_funds,52.860568000000015
Jun 1998,pension_funds,0.507376
Jun 1998,banks,30.736304
Jun 1998,insurance_companies,7.997848000000001
Jun 1998,foreign_investors,0.80112
Jun 1998,bank_of_israel,4.87348
Jul 1998,public,23.95895
Jul 1998,mutual_funds,10.852391999999998
Jul 1998,providence_funds,53.92451
Jul 1998,pension_funds,0.53992
Jul 1998,banks,31.639312
Jul 1998,insurance_companies,8.23378
Jul 1998,foreign_investors,0.7558880000000001
Jul 1998,bank_of_israel,5.0887459999999995
Aug 1998,public,25.863696
Aug 1998,mutual_funds,11.377776
Aug 1998,providence_funds,56.635728
Aug 1998,pension_funds,0.5766239999999999
Aug 1998,banks,31.503359999999994
Aug 1998,insurance_companies,8.480592
Aug 1998,foreign_investors,0.759456
Aug 1998,bank_of_israel,5.442768
Sep 1998,public,24.99556
Sep 1998,mutual_funds,11.576156
Sep 1998,providence_funds,55.86996399999999
Sep 1998,pension_funds,0.5864879999999999
Sep 1998,banks,31.977559999999993
Sep 1998,insurance_companies,8.713536
Sep 1998,foreign_investors,0.614416
Sep 1998,bank_of_israel,5.3063199999999995
Oct 1998,public,27.069984
Oct 1998,mutual_funds,12.014784
Oct 1998,providence_funds,57.709152
Oct 1998,pension_funds,0.616896
Oct 1998,banks,34.29648
Oct 1998,insurance_companies,8.915616
Oct 1998,foreign_investors,0.631584
Oct 1998,bank_of_israel,5.640192
Nov 1998,public,26.0634
Nov 1998,mutual_funds,10.77384
Nov 1998,providence_funds,56.97648
Nov 1998,pension_funds,0.63888
Nov 1998,banks,35.588519999999995
Nov 1998,insurance_companies,9.1476
Nov 1998,foreign_investors,0.63888
Nov 1998,bank_of_israel,5.38692
Dec 1998,public,26.231868
Dec 1998,mutual_funds,10.410863999999998
Dec 1998,providence_funds,57.888498000000006
Dec 1998,pension_funds,0.6579900000000001
Dec 1998,banks,37.096014
Dec 1998,insurance_companies,7.778904
Dec 1998,foreign_investors,0.6433679999999999
Dec 1998,bank_of_israel,5.512494
Jan 1999,public,25.73188799999999
Jan 1999,mutual_funds,9.709056
Jan 1999,providence_funds,57.4308
Jan 1999,pension_funds,0.6357119999999999
Jan 1999,banks,37.145807999999995
Jan 1999,insurance_companies,7.917504
Jan 1999,foreign_investors,0.57792
Jan 1999,bank_of_israel,5.331312
Feb 1999,public,25.71744
Feb 1999,mutual_funds,9.31896
Feb 1999,providence_funds,58.283232
Feb 1999,pension_funds,0.6646079999999999
