date,indexation,maturity,value
Jul 1999,nominal,10,NA
Jul 1999,real,1,6.671
Aug 1999,nominal,1,11.6165217391
Aug 1999,real,10,5.1917391304
Aug 1999,nominal,10,NA
Aug 1999,real,1,5.8465217391
Sep 1999,nominal,1,12.0215789474
Sep 1999,real,10,5.2489473684
Sep 1999,nominal,10,NA
Sep 1999,real,1,6.0521052632
Oct 1999,nominal,1,11.8552380952
Oct 1999,real,10,5.3257142857
Oct 1999,nominal,10,NA
Oct 1999,real,1,6.6042857143000004
Nov 1999,nominal,1,11.33
Nov 1999,real,10,5.3090909091
Nov 1999,nominal,10,NA
Nov 1999,real,1,7.2977272727
Dec 1999,nominal,1,10.7322727273
Dec 1999,real,10,5.1909090909
Dec 1999,nominal,10,NA
Dec 1999,real,1,7.4945454545
Jan 2000,nominal,1,9.7876190476
Jan 2000,real,10,5.3252380952
Jan 2000,nominal,10,NA
Jan 2000,real,1,7.560952381
Feb 2000,nominal,1,9.5252380952
Feb 2000,real,10,5.3323809524
Feb 2000,nominal,10,NA
Feb 2000,real,1,7.0328571429
Mar 2000,nominal,1,8.7057142857
Mar 2000,real,10,5.1961904762
Mar 2000,nominal,10,NA
Mar 2000,real,1,6.9838095238
Apr 2000,nominal,1,8.92
Apr 2000,real,10,5.1564705882
Apr 2000,nominal,10,NA
Apr 2000,real,1,6.8641176471
May 2000,nominal,1,9.4795238095
May 2000,real,10,5.189047619
May 2000,nominal,10,NA
May 2000,real,1,6.0680952381
Jun 2000,nominal,1,9.3835
Jun 2000,real,10,5.344
Jun 2000,nominal,10,NA
Jun 2000,real,1,6.3855
Jul 2000,nominal,1,9.1881818182
Jul 2000,real,10,5.5086363636
Jul 2000,nominal,10,NA
Jul 2000,real,1,6.9577272727
Aug 2000,nominal,1,8.9809090909
Aug 2000,real,10,5.7104545455
Aug 2000,nominal,10,NA
Aug 2000,real,1,7.2154545455
Sep 2000,nominal,1,8.695
Sep 2000,real,10,5.812
Sep 2000,nominal,10,NA
Sep 2000,real,1,7.4635
